,purpose,int.rate,installment,annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
7354,debt_consolidation,0.0759,321.14,14911.64,22.25,762,2890,2644.0,4.8,0,0,0,0
7355,debt_consolidation,0.1195,173.32,23010.4,13.91,700,2866,17983.0,48.5,1,0,0,0
7356,major_purchase,0.1393,742.89,36664.56,8.92,670,5686,13108.0,57.4,1,2,0,1
7357,home_improvement,0.0938,840.37,137780.3,14.3,726,4715,44260.0,40.1,0,0,0,0
7358,educational,0.1333,282.94,29529.49,18.87,640,1670,5525.0,52.2,3,0,0,1
7359,small_business,0.1734,509.78,110830.39,11.55,698,2136,2293.0,11.5,3,0,0,0
7360,credit_card,0.1372,160.21,167271.68,7.72,669,4889,12760.0,67.7,2,1,0,0
7361,home_improvement,0.1352,242.72,111196.63,14.6,682,4387,36404.0,92.7,1,0,0,0
7362,small_business,0.1285,534.84,87873.25,3.16,742,9296,5145.0,16.4,0,0,0,0
7363,educational,0.1397,604.94,154199.79,7.44,698,4518,10121.0,66.1,3,0,0,0
7364,small_business,0.1159,248.52,67284.56,13.08,735,5455,3035.0,18.3,3,1,0,1
7365,credit_card,0.133,651.38,297510.61,16.89,762,6089,17964.0,43.7,1,0,0,0
7366,credit_card,0.156,313.84,48342.55,26.49,693,4499,15813.0,73.6,0,0,0,0
7367,all_other,0.1355,654.38,78170.97,4.3,696,6901,24624.0,21.2,2,0,0,0
7368,credit_card,0.1144,236.82,53312.87,25.14,713,3070,9247.0,13.9,0,1,0,0
7369,debt_consolidation,0.1479,857.58,297058.01,18.84,707,3699,159696.0,3.8,6,0,0,0
7370,major_purchase,0.1111,91.3,50806.63,3.98,727,4095,4495.0,64.5,1,0,0,0
7371,major_purchase,0.1305,259.54,105328.55,11.34,704,6276,4831.0,35.3,2,0,0,0
7372,all_other,0.1352,252.65,35976.73,19.95,741,2188,9420.0,19.6,0,0,0,0
7373,credit_card,0.116,173.07,46920.29,17.01,747,4620,14404.0,53.8,0,0,0,0
7374,major_purchase,0.1277,242.86,25008.08,21.88,667,2581,5706.0,83.9,3,3,0,0
7375,small_business,0.144,848.69,101070.51,13.67,697,4410,3771.0,0.3,4,0,0,1
7376,educational,0.071,174.03,36253.52,14.05,757,4854,19419.0,30.0,2,0,0,0
7377,home_improvement,0.1672,277.68,131249.66,20.83,675,9115,15130.0,62.4,9,0,0,1
7378,educational,0.1104,69.46,9557.11,17.16,700,3484,4634.0,20.3,1,0,0,0
7379,credit_card,0.121,157.31,59255.42,16.61,680,4702,5512.0,53.7,2,0,0,0
7380,small_business,0.1246,394.95,144062.76,20.97,716,3488,15168.0,91.9,3,0,0,0
7381,debt_consolidation,0.1955,263.85,44012.36,15.57,655,3191,5167.0,87.0,0,2,0,0
7382,major_purchase,0.0926,171.04,77870.61,14.67,732,4808,4969.0,55.3,0,0,0,0
7383,all_other,0.1133,73.48,45709.15,20.3,686,6212,20876.0,69.1,1,0,0,0
7384,educational,0.1401,85.0,33811.76,13.75,671,4806,5112.0,17.8,3,1,0,0
7385,small_business,0.1567,99.63,138614.71,2.98,675,4338,144236.0,21.3,8,0,0,0
7386,educational,0.1301,42.29,88633.92,10.03,667,903,2761.0,85.3,1,1,0,0
7387,credit_card,0.132,163.38,74848.1,13.05,656,4278,13064.0,77.4,1,0,0,0
7388,home_improvement,0.077,282.46,109917.44,1.91,744,12788,32335.0,7.3,1,0,0,0
7389,,0.1277,259.82,63907.48,17.94,658,3895,3878.0,81.8,1,0,0,1
7390,home_improvement,0.1175,242.22,92449.66,25.57,671,2426,8320.0,25.4,4,0,0,0
7391,educational,0.1158,374.64,102515.0,7.04,721,4539,17478.0,68.9,1,0,0,0
7392,credit_card,0.1346,288.5,23334.59,28.06,677,6066,19455.0,82.4,3,0,0,0
7393,debt_consolidation,0.0696,126.56,25793.79,12.78,772,6024,6123.0,17.8,0,0,0,0
7394,home_improvement,0.1512,217.43,34323.93,2.73,667,4342,3049.0,71.3,3,0,0,0
7395,credit_card,0.1113,529.61,42938.69,10.11,726,7161,18562.0,34.5,3,0,0,1
7396,home_improvement,0.1029,158.16,65839.94,15.6,700,3476,14448.0,46.3,4,0,0,0
7397,all_other,0.0784,184.05,49822.09,19.3,751,7183,4701.0,12.8,3,0,0,0
7398,credit_card,0.0938,394.59,58823.13,13.78,743,5779,6224.0,20.2,0,1,0,0
7399,all_other,0.0866,171.14,32294.11,19.98,703,2621,6286.0,13.5,3,0,0,1
7400,debt_consolidation,0.1368,205.39,39803.73,23.58,711,4599,16457.0,69.7,0,1,0,0
7401,debt_consolidation,0.0964,395.36,82409.15,18.01,691,7068,95843.0,39.2,0,0,0,0
7402,all_other,0.1226,203.33,75123.43,21.04,677,6118,5983.0,39.0,8,0,0,0
7403,educational,0.1229,78.62,61447.47,19.47,692,5965,23478.0,40.2,3,0,1,0
7404,major_purchase,0.0796,77.13,19552.39,13.21,783,3429,542.0,0.6,1,0,0,0
7405,debt_consolidation,0.1104,120.22,42336.99,20.5,700,9217,22936.0,65.4,0,1,0,0
7406,debt_consolidation,0.0679,333.21,41320.54,14.81,778,5119,10500.0,27.4,0,0,0,0
7407,all_other,0.1055,174.48,51545.83,16.43,706,3479,1011.0,31.2,3,0,0,1
7408,,0.1447,937.19,78832.32,3.82,721,6505,11424.0,23.2,8,0,0,0
7409,all_other,0.1545,60.41,70088.39,5.8,664,1551,3204.0,18.2,9,0,0,0
7410,credit_card,0.1362,356.82,38371.35,7.99,679,2742,5467.0,64.1,0,0,0,1
7411,debt_consolidation,0.1339,188.91,143426.56,2.55,654,8083,7959.0,23.2,12,0,1,0
7412,debt_consolidation,0.0749,163.91,41170.58,10.67,715,4163,12975.0,22.5,0,1,0,0
7413,home_improvement,0.0688,192.81,61843.15,8.84,772,6427,8711.0,26.8,0,0,0,0
7414,home_improvement,0.1255,875.49,122328.62,12.14,746,13501,47598.0,27.7,1,0,0,0
7415,major_purchase,0.148,276.93,26981.49,19.87,663,3559,11568.0,75.3,3,2,0,1
7416,educational,0.1015,98.52,26599.93,2.47,714,3139,6557.0,32.5,2,0,0,1
7417,all_other,0.133,539.14,108659.97,11.13,693,5581,21328.0,40.4,1,0,0,0
7418,credit_card,0.1445,65.24,57756.2,25.48,674,4654,14469.0,87.7,0,1,0,0
7419,home_improvement,0.0826,41.29,60809.15,1.38,787,2517,2313.0,3.5,0,0,0,0
7420,educational,0.1051,187.21,61974.02,5.48,700,7960,6402.0,64.9,2,0,0,0
7421,small_business,0.1694,243.18,62509.67,13.69,663,3107,23500.0,70.7,3,0,0,1
7422,home_improvement,0.1399,269.26,48747.28,22.48,680,8887,64191.0,77.9,1,0,0,0
7423,all_other,0.0759,177.2,40255.24,18.89,751,7245,2693.0,36.5,2,0,0,0
7424,home_improvement,0.0916,211.58,89226.93,8.27,744,4135,16770.0,26.0,1,0,0,0
7425,debt_consolidation,0.112,312.66,100803.76,3.96,751,4590,1276.0,6.9,1,0,0,0
7426,debt_consolidation,0.0784,331.98,62319.72,1.99,767,3579,5128.0,11.0,0,0,0,0
7427,debt_consolidation,0.0864,409.17,51583.29,3.99,719,9356,2435.0,32.6,0,1,0,0
7428,small_business,0.1045,329.11,116366.97,16.09,772,8238,3473.0,6.0,2,0,1,0
7429,small_business,0.1783,845.6,74917.68,20.66,687,3312,110595.0,44.6,8,0,0,1
7430,,0.1328,152.87,106383.8,14.81,664,4885,7673.0,83.8,2,0,0,0
7431,educational,0.1302,609.25,111446.79,11.38,690,5546,8817.0,46.7,0,0,0,0
7432,credit_card,0.1234,172.56,48480.83,20.61,707,8493,27666.0,57.0,3,0,0,0
7433,major_purchase,0.1236,256.0,24036.18,2.79,794,1341,1155.0,7.6,0,0,0,0
7434,credit_card,0.1583,214.2,44054.21,15.08,624,2586,3543.0,81.4,8,0,0,1
7435,all_other,0.145,197.97,66238.62,3.0,694,3820,256.0,44.9,0,0,0,0
7436,home_improvement,0.1263,176.83,90755.45,17.32,725,4656,9291.0,7.4,4,3,0,1
7437,major_purchase,0.099,267.37,67538.3,13.12,752,2917,6339.0,21.5,0,0,0,0
7438,all_other,0.1088,50.33,18373.68,17.03,680,3793,2383.0,6.7,3,0,0,0
7439,educational,0.0812,255.47,19070.77,5.88,765,2958,220.0,7.8,0,0,0,0
7440,debt_consolidation,0.1573,252.64,18473.17,23.23,674,1819,19549.0,72.5,1,0,0,0
7441,home_improvement,0.0849,112.98,92538.15,4.55,774,3119,6603.0,27.4,0,0,1,0
7442,all_other,0.1455,157.8,58518.25,12.85,694,4625,30857.0,89.7,3,0,0,0
7443,major_purchase,0.0916,266.28,88046.33,15.89,763,11216,14702.0,9.1,0,0,0,0
7444,home_improvement,0.1539,51.37,34379.19,12.55,666,4070,17626.0,100.9,3,0,0,1
7445,major_purchase,0.1051,374.61,108586.62,4.78,721,5570,6829.0,26.9,2,0,0,0
7446,educational,0.1464,104.32,32998.59,1.46,704,731,2449.0,11.3,0,0,0,0
7447,educational,0.2038,148.21,48335.26,21.47,679,4349,23109.0,83.2,5,0,0,0
7448,credit_card,0.1286,731.44,73095.66,13.45,701,4059,20139.0,70.6,0,1,0,0
7449,major_purchase,0.1,248.92,26096.83,3.15,751,3941,3053.0,32.1,0,0,0,0
7450,debt_consolidation,0.1141,212.28,97703.69,14.54,699,4773,17871.0,78.8,4,0,0,0
7451,debt_consolidation,0.071,191.18,13570.29,9.55,755,2140,2396.0,38.6,0,0,0,0
7452,home_improvement,0.1047,281.82,27853.89,20.38,719,3779,2319.0,25.0,0,0,0,0
7453,home_improvement,0.0874,300.75,91167.78,1.82,777,8379,11897.0,12.3,0,0,0,0
7454,small_business,0.0804,247.84,94629.73,2.92,755,3612,8798.0,20.3,0,0,0,0
7455,educational,0.1129,592.73,85363.81,2.77,771,6334,3373.0,52.9,2,0,0,0
7456,all_other,0.1777,285.5,72211.91,5.06,679,5157,7788.0,97.0,0,0,0,0
7457,all_other,0.1356,477.98,68169.29,13.07,670,4046,1973.0,21.2,2,1,0,0
7458,major_purchase,0.0729,107.28,18850.69,15.9,767,1713,848.0,6.7,0,0,0,0
7459,credit_card,0.1356,282.39,42247.33,23.01,678,7778,132002.0,71.7,2,0,0,0
7460,credit_card,0.1271,299.44,46499.04,1.28,766,3411,2648.0,16.1,5,0,0,0
7461,all_other,0.1338,889.23,116947.94,13.92,700,2953,3829.0,62.7,1,0,0,0
7462,small_business,0.123,272.85,41996.08,19.6,759,4169,2886.0,5.1,0,0,0,1
7463,credit_card,0.0763,309.58,69120.8,6.48,765,5195,22272.0,36.6,0,0,0,0
7464,major_purchase,0.1152,407.43,117382.79,10.62,688,1248,6168.0,55.0,1,0,0,0
7465,credit_card,0.1284,350.62,45533.11,9.83,671,2848,5429.0,25.8,0,0,0,0
7466,home_improvement,0.1385,152.85,30175.8,2.42,663,2384,742.0,59.0,0,0,0,0
7467,debt_consolidation,0.0884,327.27,17413.62,18.67,759,1954,1137.0,3.2,0,0,0,0
7468,educational,0.1685,162.27,140546.63,8.11,680,3214,10555.0,96.6,2,1,1,0
7469,,0.1096,232.51,42581.27,22.24,729,3936,2941.0,21.6,0,0,0,0
7470,home_improvement,0.1182,110.38,76324.05,5.81,707,6919,7143.0,53.1,2,0,0,0
7471,debt_consolidation,0.075,244.12,44971.51,10.72,794,5926,11609.0,48.3,0,0,0,0
7472,major_purchase,0.0767,182.88,54544.49,4.44,773,5982,15289.0,17.1,0,0,0,0
7473,all_other,0.1244,372.41,31967.55,9.72,720,4818,2847.0,5.8,0,0,0,1
7474,debt_consolidation,0.1834,182.39,53385.45,15.95,662,1590,27515.0,91.7,0,0,0,0
7475,home_improvement,0.0689,135.0,62192.58,6.45,784,7083,9463.0,35.1,0,0,0,0
7476,small_business,0.1265,656.12,102439.9,11.94,730,7082,4562.0,66.5,0,1,0,0
7477,major_purchase,0.1356,356.68,36853.51,3.11,780,3193,759.0,0.6,0,0,0,0
7478,debt_consolidation,0.1394,155.76,35471.92,7.95,706,3032,1998.0,72.4,1,0,0,0
7479,major_purchase,0.1269,861.87,53802.26,4.36,722,4293,7172.0,35.9,1,0,0,0
7480,credit_card,0.1212,106.6,74256.16,25.92,682,2196,12687.0,73.1,0,0,1,0
7481,educational,0.1016,157.73,37866.89,3.04,724,7909,3557.0,18.8,2,1,0,0
7482,debt_consolidation,0.1537,147.83,135882.75,7.85,659,2310,15016.0,67.5,1,0,0,0
7483,home_improvement,0.1333,289.34,48305.69,15.13,657,1877,4389.0,40.7,0,0,0,1
7484,,0.192,843.5,188814.18,14.85,755,4084,55326.0,5.7,4,3,0,0
7485,major_purchase,0.1298,640.29,59215.02,9.27,738,5392,23812.0,44.5,2,0,0,0
7486,debt_consolidation,0.1218,493.09,95055.81,8.48,702,5512,20370.0,86.2,1,0,0,0
7487,debt_consolidation,0.1053,221.37,39390.95,7.59,731,6125,4179.0,37.8,0,0,0,0
7488,debt_consolidation,0.0613,208.24,30145.65,2.23,811,4648,3927.0,20.3,0,0,0,0
7489,major_purchase,0.1082,49.38,25874.82,15.87,710,4630,9202.0,19.0,2,0,0,0
7490,educational,0.09,138.47,28351.98,6.26,730,5323,3315.0,39.6,1,0,0,0
7491,home_improvement,0.1272,410.81,82034.07,8.65,670,5848,4753.0,12.7,1,0,0,0
7492,home_improvement,0.1277,142.39,45418.44,8.3,708,3612,16271.0,57.2,2,0,0,0
7493,debt_consolidation,0.1304,538.75,110961.59,9.61,733,3617,17233.0,39.4,0,0,0,0
7494,major_purchase,0.1224,57.11,121730.65,4.51,730,1447,475.0,9.3,1,0,0,0
7495,educational,0.1576,84.7,40740.62,16.19,661,4234,2248.0,75.0,8,0,0,0
7496,small_business,0.0691,103.58,68206.43,5.27,757,4799,24616.0,63.0,0,0,0,0
7497,credit_card,0.1542,219.31,58251.46,22.04,693,5724,25507.0,102.9,1,0,0,0
7498,educational,0.1026,91.27,23520.43,12.17,748,7599,5417.0,38.0,1,0,0,1
7499,debt_consolidation,0.1297,200.8,55828.61,22.34,688,1463,2935.0,36.2,0,1,0,0
7500,home_improvement,0.0822,405.86,284995.91,16.22,807,6972,16392.0,6.0,0,0,0,1
7501,all_other,0.1634,751.79,112369.96,5.21,675,5761,26666.0,60.6,0,1,0,0
7502,home_improvement,0.0658,236.55,64136.81,16.71,804,5111,2047.0,0.8,0,0,0,0
7503,debt_consolidation,0.1156,249.89,71412.93,7.83,705,4876,3374.0,27.7,0,0,1,0
7504,credit_card,0.1087,190.16,38012.59,18.24,747,7401,16791.0,72.3,0,0,0,0
7505,major_purchase,0.1754,677.36,53075.5,15.27,699,15146,2856.0,30.3,1,0,0,0
7506,major_purchase,0.1306,167.54,46763.52,9.42,663,4161,3159.0,41.6,1,1,0,0
7507,credit_card,0.131,584.32,124856.48,5.88,719,2655,18605.0,42.2,0,0,0,0
7508,credit_card,0.1003,297.35,82764.09,5.34,722,2666,9340.0,83.9,0,0,0,0
7509,home_improvement,0.0733,219.66,41005.65,5.44,760,4249,3185.0,21.0,0,0,0,0
7510,debt_consolidation,0.1644,264.37,59822.39,24.39,691,3662,34799.0,38.1,1,0,0,0
7511,home_improvement,0.1403,279.53,19355.04,8.27,678,2771,2767.0,14.2,5,1,0,1
7512,credit_card,0.0957,432.04,116144.92,5.1,782,10259,65342.0,25.4,0,0,0,0
7513,home_improvement,0.0756,90.77,32693.95,1.34,801,2471,1314.0,17.7,0,0,0,0
7514,home_improvement,0.0753,200.61,19011.7,14.63,771,2914,2589.0,4.9,0,0,0,0
7515,all_other,0.115,212.93,32181.23,13.77,717,3109,347.0,9.8,3,0,0,1
7516,all_other,0.1051,506.41,99442.93,2.7,744,895,4014.0,0.9,1,0,0,1
7517,debt_consolidation,0.144,514.23,31263.67,23.24,681,1544,825.0,72.5,0,0,0,0
7518,debt_consolidation,0.1565,208.9,79523.65,12.73,688,3247,8088.0,91.5,3,2,0,1
7519,educational,0.1054,249.71,76363.81,2.88,723,4775,9865.0,40.2,4,0,0,1
7520,debt_consolidation,0.1131,92.08,95529.3,4.43,717,2349,8799.0,21.9,0,1,0,1
7521,home_improvement,0.1545,233.01,161698.89,3.62,663,5242,9986.0,19.6,3,0,1,0
7522,debt_consolidation,0.0731,348.46,76901.19,9.0,786,3798,2588.0,9.4,1,0,0,0
7523,small_business,0.1025,151.88,79729.06,5.92,691,6110,5626.0,54.0,0,1,0,0
7524,debt_consolidation,0.1514,446.27,40921.74,24.93,653,4821,12455.0,92.7,0,0,0,0
7525,debt_consolidation,0.1413,252.66,21696.51,21.84,662,2145,5354.0,67.0,3,0,0,0
7526,debt_consolidation,0.0921,212.5,61685.29,22.07,695,4009,26473.0,7.4,3,0,0,1
7527,major_purchase,0.1082,218.99,91250.91,8.56,742,3438,3113.0,59.8,1,0,0,0
7528,educational,0.1066,59.54,35784.74,22.14,728,5233,15160.0,64.2,0,0,0,0
7529,all_other,0.086,129.61,78975.1,1.59,781,3651,3469.0,11.3,0,0,0,0
7530,credit_card,0.0863,214.61,59068.79,5.09,715,4288,8207.0,57.7,0,0,0,0
7531,debt_consolidation,0.142,511.63,45760.24,10.09,717,4782,10524.0,67.3,0,0,0,0
7532,educational,0.0846,57.96,44836.45,5.31,704,4864,910.0,18.3,2,0,1,1
7533,educational,0.166,90.64,38362.37,18.37,647,971,634.0,76.1,4,0,0,0
7534,,0.1383,391.41,89354.36,21.65,704,4439,31444.0,56.5,0,0,0,0
7535,credit_card,0.1247,154.09,49696.93,15.29,679,4242,37913.0,95.9,1,0,0,0
7536,all_other,0.1064,199.46,22143.31,2.15,731,4836,1762.0,10.7,2,1,0,0
7537,home_improvement,0.1557,237.0,76589.81,14.67,685,4459,5471.0,36.9,1,0,0,0
7538,debt_consolidation,0.1479,56.05,64984.59,22.33,658,3585,33202.0,75.9,1,0,0,0
7539,debt_consolidation,0.1593,277.2,65247.6,14.1,678,5825,3261.0,33.8,2,1,0,0
7540,credit_card,0.0841,334.49,59793.2,9.56,775,5390,4624.0,48.5,1,0,0,0
7541,home_improvement,0.081,169.43,50447.59,5.78,757,4938,4853.0,20.1,1,0,0,0
7542,small_business,0.1251,554.53,105785.82,3.28,743,7411,503.0,9.9,0,0,0,0
7543,all_other,0.0948,252.46,71513.7,18.24,725,4804,1194.0,28.7,1,0,0,0
7544,debt_consolidation,0.1464,327.69,122826.63,9.98,710,2985,1231.0,19.5,2,0,1,0
7545,educational,0.0729,222.4,27162.66,1.79,780,5308,9486.0,20.2,0,0,0,0
7546,debt_consolidation,0.1888,530.06,49064.35,8.9,659,4066,6753.0,92.3,3,0,0,0
7547,educational,0.1097,44.98,31780.99,25.87,707,672,9378.0,47.4,1,0,0,0
7548,all_other,0.1114,129.47,51217.26,5.19,711,5683,19435.0,51.3,1,0,0,0
7549,major_purchase,0.144,120.38,30502.3,4.14,680,5211,2344.0,59.2,1,0,1,0
7550,credit_card,0.149,487.51,78676.64,18.47,690,13014,36617.0,71.7,2,0,0,0
7551,educational,0.115,223.4,34057.32,14.09,743,2807,419.0,25.9,4,0,0,1
7552,credit_card,0.1175,104.75,45673.39,21.96,674,4280,26296.0,98.4,0,0,0,0
7553,home_improvement,0.0934,493.4,75879.66,3.68,758,11198,4402.0,6.9,1,0,0,0
7554,home_improvement,0.1553,750.99,180085.47,1.99,665,8893,21735.0,93.1,3,0,0,0
7555,credit_card,0.0819,223.95,50098.47,14.7,764,6954,4231.0,40.0,0,0,0,0
7556,major_purchase,0.0734,108.81,27710.31,6.0,739,4658,1325.0,9.6,3,0,0,0
7557,debt_consolidation,0.1166,645.98,53770.18,9.45,670,6892,11464.0,39.9,1,0,1,1
7558,all_other,0.1512,360.03,48362.4,0.91,746,1930,2038.0,10.1,1,0,0,0
7559,home_improvement,0.1055,225.39,53086.03,2.68,712,1490,7969.0,45.8,1,0,0,0
7560,,0.1112,87.46,50910.83,5.13,720,2013,8940.0,54.1,0,0,0,0
7561,,0.1828,478.22,66481.56,2.49,710,3153,109299.0,70.4,5,0,0,0
7562,major_purchase,0.1079,269.46,62950.98,19.31,750,10027,43901.0,43.3,3,0,0,0
7563,educational,0.2016,868.83,730134.73,2.58,736,7790,1653.0,10.8,1,0,0,0
7564,educational,0.142,225.73,36554.62,8.64,663,2427,2780.0,73.4,1,0,0,1
7565,major_purchase,0.1284,158.0,55186.83,5.6,691,3873,13309.0,66.4,0,0,0,0
7566,credit_card,0.1049,180.49,58607.12,21.52,670,2860,9810.0,22.5,2,0,0,0
7567,credit_card,0.0945,172.35,43905.76,18.58,722,8288,22970.0,72.8,2,0,0,0
7568,credit_card,0.1278,318.53,25918.32,20.66,700,7600,40000.0,63.4,0,0,0,0
7569,small_business,0.1246,531.2,89475.23,11.79,766,4007,1466.0,20.2,0,0,0,1
7570,credit_card,0.1077,153.31,34956.46,18.5,717,5756,16219.0,45.1,0,0,0,0
7571,home_improvement,0.0716,327.05,140413.57,1.32,778,5859,39472.0,29.5,0,0,0,0
7572,all_other,0.0829,277.36,54493.96,2.13,734,5002,4406.0,37.5,0,0,0,0
7573,,0.1198,82.42,89219.97,3.06,727,2284,2788.0,56.1,1,0,0,0
7574,debt_consolidation,0.1601,36.84,9502.28,19.82,630,852,17357.0,98.4,0,1,0,1
7575,small_business,0.1777,681.93,49843.9,19.22,686,4043,14474.0,24.2,3,0,0,0
7576,credit_card,0.1021,301.89,107803.31,10.23,715,5881,42740.0,37.6,1,0,0,0
7577,debt_consolidation,0.1385,313.54,27140.21,20.09,708,1579,17035.0,50.8,0,0,0,0
7578,educational,0.1356,168.02,79027.8,13.64,710,5390,5659.0,83.6,0,0,0,0
7579,credit_card,0.0973,162.73,32186.5,17.36,738,5690,15361.0,53.3,0,0,0,0
7580,home_improvement,0.1669,810.14,189919.16,11.91,700,3822,970.0,6.7,1,0,0,1
7581,credit_card,0.1374,279.01,49145.98,20.02,649,2271,23235.0,87.0,0,0,0,0
7582,home_improvement,0.0871,148.61,48290.23,15.72,775,13558,20433.0,37.0,0,0,0,0
7583,small_business,0.1345,496.39,93510.23,23.17,716,7822,35243.0,27.6,2,1,0,0
7584,major_purchase,0.1512,174.35,44318.62,0.72,694,2101,716.0,8.9,1,0,0,1
7585,major_purchase,0.0793,168.87,61761.37,4.59,724,2613,3433.0,48.6,2,0,0,0
7586,major_purchase,0.1588,640.52,153939.77,6.16,715,7644,11484.0,33.9,0,0,0,0
7587,educational,0.117,53.49,10128.24,14.95,681,3620,5369.0,68.5,0,0,0,0
7588,small_business,0.1333,502.02,118006.46,15.43,713,4242,15195.0,0.2,0,1,0,1
7589,major_purchase,0.0897,281.64,91884.01,4.89,789,4944,2404.0,5.9,0,0,0,1
7590,debt_consolidation,0.1473,365.39,25985.36,11.97,686,5441,27051.0,101.9,1,0,0,0
7591,major_purchase,0.0788,234.8,138614.81,13.87,732,5717,26866.0,53.1,0,0,0,0
7592,major_purchase,0.1315,891.86,122371.25,7.71,759,4768,8804.0,5.8,1,0,0,0
7593,,0.1336,162.53,43881.3,21.51,713,7021,48302.0,22.0,0,1,0,0
7594,debt_consolidation,0.1564,412.61,100187.3,18.45,682,10503,62921.0,45.2,0,0,0,0
7595,all_other,0.1272,274.55,49747.81,15.72,709,1312,2046.0,8.3,6,0,0,1
7596,all_other,0.1524,70.99,48019.7,21.91,638,1743,1484.0,49.3,3,0,0,1
7597,educational,0.1319,391.9,19243.56,17.57,694,9240,32257.0,47.0,1,0,0,0
7598,all_other,0.0871,158.16,67178.26,14.74,748,5941,24274.0,46.9,1,0,0,0
7599,educational,0.1001,94.67,19713.76,17.5,706,5676,3657.0,55.3,0,1,0,0
7600,all_other,0.1602,199.14,147800.8,9.44,708,4296,1356.0,34.5,5,1,0,0
7601,all_other,0.1008,51.12,63163.52,18.52,680,4733,10162.0,11.1,1,1,0,0
7602,educational,0.1729,219.12,12860.66,14.97,671,3997,122834.0,28.8,5,2,0,1
7603,educational,0.128,259.29,105315.8,11.85,716,4074,12120.0,52.0,0,0,0,0
7604,small_business,0.1368,466.31,229673.65,16.64,697,1305,17638.0,59.6,2,0,0,0
7605,credit_card,0.0959,192.66,94122.18,16.0,788,10315,12393.0,57.3,3,0,0,0
7606,all_other,0.0796,716.47,176512.92,1.02,786,7802,82200.0,8.3,0,1,0,0
7607,all_other,0.1612,914.04,85023.03,4.91,747,7436,17204.0,23.8,1,0,0,0
7608,major_purchase,0.121,494.13,107853.0,11.47,738,2970,18249.0,25.4,1,0,0,0
7609,small_business,0.1063,65.8,42637.93,7.64,689,6578,7864.0,37.6,0,0,0,1
7610,major_purchase,0.0978,177.88,53957.54,5.29,704,8477,15130.0,43.0,1,0,0,0
7611,educational,0.0819,60.36,41564.69,13.26,678,1221,4840.0,77.0,0,0,0,0
7612,debt_consolidation,0.1232,335.99,92484.77,3.58,718,2283,8014.0,44.3,0,0,0,0
7613,credit_card,0.132,282.44,63086.1,11.81,708,3478,2813.0,25.0,0,0,0,0
7614,home_improvement,0.1492,270.92,48170.05,5.9,668,10030,22412.0,97.3,3,1,0,0
7615,home_improvement,0.1419,202.01,57788.68,7.74,676,2581,3260.0,93.6,0,2,0,0
7616,debt_consolidation,0.1189,286.59,35458.74,16.68,713,1761,4450.0,57.6,0,0,0,1
7617,small_business,0.199,646.33,77418.7,17.23,698,4783,11216.0,57.2,6,0,0,1
7618,all_other,0.1306,236.54,46852.43,18.18,705,5910,20860.0,39.9,2,0,0,0
7619,major_purchase,0.1184,61.84,5993.85,5.16,711,1753,2455.0,8.1,1,0,0,0
7620,small_business,0.089,188.25,54601.31,7.8,754,6676,9922.0,42.3,0,1,0,0
7621,credit_card,0.1613,255.64,56527.09,18.67,697,9141,33799.0,71.5,3,0,0,0
7622,all_other,0.1433,255.12,86812.83,14.84,695,1479,9357.0,87.8,0,0,0,1
7623,educational,0.1164,82.65,69123.67,17.16,708,8553,4427.0,51.7,2,0,0,0
7624,all_other,0.1703,106.76,45334.53,3.99,645,846,11535.0,96.6,3,0,0,0
7625,small_business,0.1043,558.74,65813.79,1.21,787,6941,2737.0,25.5,0,0,0,0
7626,,0.131,201.16,94328.68,21.29,683,9685,12959.0,72.5,2,1,0,0
7627,educational,0.1293,78.38,54123.1,3.31,667,3215,2355.0,17.2,5,3,0,1
7628,educational,0.0951,255.47,57654.64,5.3,732,3472,2316.0,21.1,1,0,0,0
7629,educational,0.1355,507.5,35695.43,6.0,676,1774,303.0,93.1,0,0,0,0
7630,home_improvement,0.1396,650.71,84293.1,5.74,749,3156,853.0,11.7,0,0,0,1
7631,credit_card,0.0901,333.84,55327.71,16.75,738,4638,6358.0,38.0,0,0,0,0
7632,small_business,0.1508,372.65,171071.93,9.46,755,5827,104674.0,13.9,0,0,0,0
7633,major_purchase,0.1245,265.74,29960.03,1.06,716,3916,1842.0,0.6,0,0,0,0
7634,debt_consolidation,0.1382,550.82,69701.32,16.49,683,6933,2182.0,51.6,4,2,0,0
7635,major_purchase,0.1109,172.4,61632.08,3.77,734,4988,696.0,10.1,3,0,0,0
7636,all_other,0.0943,58.98,41967.1,0.33,719,2388,280.0,65.3,1,0,0,0
7637,credit_card,0.0928,151.86,80346.97,19.73,749,4110,6226.0,28.9,2,0,0,0
7638,all_other,0.132,66.1,46691.84,19.01,664,3850,12379.0,63.5,3,0,0,1
7639,debt_consolidation,0.1306,473.55,41323.25,6.03,718,3088,4072.0,18.0,1,0,0,0
7640,major_purchase,0.1786,836.08,136606.92,18.11,695,9047,28369.0,84.0,4,2,0,1
7641,credit_card,0.1044,518.87,93920.72,6.6,703,4843,27664.0,3.6,0,1,0,0
7642,debt_consolidation,0.1248,160.86,8896.84,9.23,637,2040,1537.0,33.6,13,0,0,0
7643,educational,0.1628,207.74,84428.37,12.79,668,3947,13469.0,39.7,6,2,0,1
